Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
A549	Max	None	wgEncodeAwgTfbsSydhA549MaxIggrabUniPk.narrowPeak	0,970096236612368	0,31427208909466	0,00619747529800626
A549	Pol2(phosphoS2)	None	wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk.narrowPeak	0,663888084769122	0,00849242283677398	0,00337125074721333
A549	Rad21	None	wgEncodeAwgTfbsSydhA549Rad21IggrabUniPk.narrowPeak	0,988579197273842	0,636186226337131	0,010746685889096
GM08714	ZNF274	None	wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk.narrowPeak	0,97201560889834	0,507230815148645	0,000413165019867084
GM10847	NFKB	TNFa	wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk.narrowPeak	0,951498794930179	0,159606680663227	0,00596891592531383
GM10847	Pol2	None	wgEncodeAwgTfbsSydhGm10847Pol2IggmusUniPk.narrowPeak	0,991693324827715	0,52869099184295	0,00610077710186715
GM12878	BHLHE40	None	wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk.narrowPeak	0,944348840574572	0,219940337652804	0,00791606596575126
GM12878	BRCA1	None	wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk.narrowPeak	0,997287364733171	0,0575310135829706	0,000171419529519322
GM12878	c-Fos	None	wgEncodeAwgTfbsSydhGm12878CfosUniPk.narrowPeak	0,988763616318793	0,401997767611364	0,000659305882766623
GM12878	CHD1	None	wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk.narrowPeak	0,888391109293432	0,0705529839926285	0,00447888463026126
GM12878	CHD2	None	wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk.narrowPeak	0,942040607470139	0,298525668206636	0,00964784275115159
GM12878	COREST	None	wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk.narrowPeak	0,960820638645643	0,0523035487500764	0,00129663490277436
GM12878	CTCF	None	wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk.narrowPeak	0,979011086813297	0,549736675042703	0,0189660325609199
